request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.00,affordable_now,full_payment,2025-08-03:15656000.00,2025-08-03,none,"The full amount of 15656000.00 IDR can be paid immediately on 2025-08-03. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_27,6670.00,affordable_now,full_payment,2026-07-05:6670.00,2026-07-05,none,"The full amount of 6670.00 ZAR can be paid immediately on 2026-07-05. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_28,0.00,not_affordable,not_recommended,none,,none,"The requested amount of 1302.40 EUR is not affordable within the 90-day forecast window. Current safe payment capacity is 0.00 EUR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_29,51524.00,affordable_now,full_payment,2025-11-04:51524.00,2025-11-04,none,"The full amount of 51524.00 ZAR can be paid immediately on 2025-11-04. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,The requested amount is best paid in 3 installments per the offered payment plan (2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74). Each installment stays within the safe payment window given projected cash flow. No spending changes are required.
request_31,9311140.74,affordable_later,wait,2024-10-16:18164000.00,2024-10-16,none,"The full amount of 18164000.00 IDR cannot be safely paid today (current safe capacity: 9311140.74 IDR). The earliest safe date for full payment is 2024-10-16, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_32,17672.94,affordable_later,wait,2025-04-18:40018.00,2025-04-18,none,"The full amount of 40018.00 ZAR cannot be safely paid today (current safe capacity: 17672.94 ZAR). The earliest safe date for full payment is 2025-04-18, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_33,49374.78,affordable_later,wait,2026-03-15:118000.00,2026-03-15,none,"The full amount of 118000.00 INR cannot be safely paid today (current safe capacity: 49374.78 INR). The earliest safe date for full payment is 2026-03-15, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_34,129400.00,affordable_now,full_payment,2024-12-04:129400.00,2024-12-04,none,"The full amount of 129400.00 INR can be paid immediately on 2024-12-04. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_35,29850.73,affordable_later,wait,2026-01-16:212000.00,2026-01-16,none,"The full amount of 212000.00 INR cannot be safely paid today (current safe capacity: 29850.73 INR). The earliest safe date for full payment is 2026-01-16, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_36,615.13,not_affordable,not_recommended,none,,none,"The requested amount of 3954.00 USD is not affordable within the 90-day forecast window. Current safe payment capacity is 615.13 USD, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_37,0.00,not_affordable,not_recommended,none,,none,"The requested amount of 14649000.00 IDR is not affordable within the 90-day forecast window. Current safe payment capacity is 0.00 IDR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_38,255.98,affordable_later,wait,2025-10-13:971.30,2025-10-13,none,"The full amount of 971.30 EUR cannot be safely paid today (current safe capacity: 255.98 EUR). The earliest safe date for full payment is 2025-10-13, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_39,122251.85,affordable_later,wait,2026-06-16:208600.00,2026-06-16,none,"The full amount of 208600.00 INR cannot be safely paid today (current safe capacity: 122251.85 INR). The earliest safe date for full payment is 2026-06-16, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_40,488.46,not_affordable,not_recommended,none,,none,"The requested amount of 1290.30 EUR is not affordable within the 90-day forecast window. Current safe payment capacity is 488.46 EUR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_41,0.00,not_affordable,not_recommended,none,,none,"The requested amount of 38760000.00 IDR is not affordable within the 90-day forecast window. Current safe payment capacity is 0.00 IDR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_42,0.00,not_affordable,not_recommended,none,,none,"The requested amount of 52100.00 INR is not affordable within the 90-day forecast window. Current safe payment capacity is 0.00 INR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_43,11485500.00,affordable_later,wait,2024-11-13:43339000.00,2024-11-13,none,"The full amount of 43339000.00 IDR cannot be safely paid today (current safe capacity: 11485500.00 IDR). The earliest safe date for full payment is 2024-11-13, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_44,37186.61,affordable_later,wait,2025-04-18:95800.00,2025-04-18,none,"The full amount of 95800.00 INR cannot be safely paid today (current safe capacity: 37186.61 INR). The earliest safe date for full payment is 2025-04-18, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_45,4767432.83,not_affordable,not_recommended,none,,none,"The requested amount of 21983000.00 IDR is not affordable within the 90-day forecast window. Current safe payment capacity is 4767432.83 IDR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_46,39927.00,affordable_now,partial_payment,2024-12-03:39927.00|2024-12-15:9523.00,2024-12-03,none,"A partial payment of 39927.00 INR can be made immediately, with the remainder of 9523.00 INR payable on 2024-12-03. This splits the total into two payments that each respect the minimum balance requirement."
request_47,38114000.00,affordable_now,full_payment,2025-05-05:38114000.00,2025-05-05,none,"The full amount of 38114000.00 IDR can be paid immediately on 2025-05-05. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_48,45700.00,affordable_now,full_payment,2026-07-25:45700.00,2026-07-25,none,"The full amount of 45700.00 INR can be paid immediately on 2026-07-25. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_49,10314482.69,affordable_later,wait,2024-05-18:34333000.00,2024-05-18,none,"The full amount of 34333000.00 IDR cannot be safely paid today (current safe capacity: 10314482.69 IDR). The earliest safe date for full payment is 2024-05-18, when projected cash flow provides sufficient headroom above the minimum balance requirement."
request_50,0.00,not_affordable,not_recommended,none,,none,"The requested amount of 43900.00 INR is not affordable within the 90-day forecast window. Current safe payment capacity is 0.00 INR, which is insufficient even after considering all projected income and expenses. No safe payment plan can be constructed without exceeding minimum balance requirements."
request_51,2191000.00,affordable_now,full_payment,2026-01-03:2191000.00,2026-01-03,none,"The full amount of 2191000.00 IDR can be paid immediately on 2026-01-03. After accounting for all projected expenses and commitments over the next 90 days, the balance remains above the minimum required level. No spending changes are needed."
request_52,23304.11,affordable_later,wait,2024-06-14:28870.00,2024-06-14,none,"The full amount of 28870.00 INR cannot be safely paid today (current safe capacity: 23304.11 INR). The earliest safe date for full payment is 2024-06-14, when projected cash flow provides sufficient headroom above the minimum balance requirement."
